Diseases,Symptoms,,,,,,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, excessive exercise, absence of mensuration, emotional changes,,,,
Anorexia Nervosa, preoccupation with food, distorted body image, secretive eating habits, excessive exercise, absence of mensuration, emotional changes,,,,,
Anorexia Nervosa,weight loss, distorted body image, secretive eating habits, excessive exercise, absence of mensuration, emotional changes,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, secretive eating habits, excessive exercise, absence of mensuration, emotional changes,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, distorted body image, excessive exercise, absence of mensuration, emotional changes,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, absence of mensuration, emotional changes,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, excessive exercise, emotional changes,,,,,
Anorexia Nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, excessive exercise, absence of mensuration,,,,,
Anxiety Disorders,excessive worry, restlessness, irritability, muscle tension, sleep disturbances,,,,,,
Anxiety Disorders, restlessness, irritability, muscle tension, sleep disturbances,,,,,,,
Anxiety Disorders,excessive worry, irritability, muscle tension, sleep disturbances,,,,,,,
Anxiety Disorders,excessive worry, restlessness, muscle tension, sleep disturbances,,,,,,,
Anxiety Disorders,excessive worry, restlessness, irritability, sleep disturbances,,,,,,,
Anxiety Disorders,excessive worry, restlessness, irritability, muscle tension,,,,,,,
Autoimmune Diseases,joint pain, fatigue, skin rashes, fever, swelling, photosensitivity,,,,,
Autoimmune Diseases, fatigue, skin rashes, fever, swelling, photosensitivity,,,,,,
Autoimmune Diseases,joint pain, skin rashes, fever, swelling, photosensitivity,,,,,,
Autoimmune Diseases,joint pain, fatigue, fever, swelling, photosensitivity,,,,,,
Autoimmune Diseases,joint pain, fatigue, skin rashes, swelling, photosensitivity,,,,,,
Autoimmune Diseases,joint pain, fatigue, skin rashes, fever, photosensitivity,,,,,,
Autoimmune Diseases,joint pain, fatigue, skin rashes, fever, swelling,,,,,,
Bacterial Vaginosis,itching, burning, abnormal vaginal discharge, pain during sex, irritability, unpleasant odor ,,,,,
Bacterial Vaginosis, burning, abnormal vaginal discharge, pain during sex, irritability, unpleasant odor ,,,,,,
Bacterial Vaginosis,itching, abnormal vaginal discharge, pain during sex, irritability, unpleasant odor ,,,,,,
Bacterial Vaginosis,itching, burning, pain during sex, irritability, unpleasant odor ,,,,,,
Bacterial Vaginosis,itching, burning, abnormal vaginal discharge, irritability, unpleasant odor ,,,,,,
Bacterial Vaginosis,itching, burning, abnormal vaginal discharge, pain during sex, unpleasant odor ,,,,,,
Bacterial Vaginosis,itching, burning, abnormal vaginal discharge, pain during sex, irritability,,,,,,
Breast Cancer,lump in the breast, changes in breast size or shape, pain in the breast or nipple, skin changes on the breast, nipple discharge, inverted nipples ,,,,,
Breast Cancer, changes in breast size or shape, pain in the breast or nipple, skin changes on the breast, nipple discharge, inverted nipples ,,,,,,
Breast Cancer,lump in the breast, pain in the breast or nipple, skin changes on the breast, nipple discharge, inverted nipples ,,,,,,
Breast Cancer,lump in the breast, changes in breast size or shape, skin changes on the breast, nipple discharge, inverted nipples ,,,,,,
Breast Cancer,lump in the breast, changes in breast size or shape, pain in the breast or nipple, nipple discharge, inverted nipples ,,,,,,
Breast Cancer,lump in the breast, changes in breast size or shape, pain in the breast or nipple, skin changes on the breast, inverted nipples ,,,,,,
Breast Cancer,lump in the breast, changes in breast size or shape, pain in the breast or nipple, skin changes on the breast, nipple discharge,,,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, irregular periods, dental issues, sore throat, gastrointestinal problems,,,
Bulimia nervosa, preoccupation with food, distorted body image, secretive eating habits, irregular periods, dental issues, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, distorted body image, secretive eating habits, irregular periods, dental issues, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, secretive eating habits, irregular periods, dental issues, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, irregular periods, dental issues, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, dental issues, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, irregular periods, sore throat, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, irregular periods, dental issues, gastrointestinal problems,,,,
Bulimia nervosa,weight loss, preoccupation with food, distorted body image, secretive eating habits, irregular periods, dental issues, sore throat,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, abnormal vaginal discharge, leg pains, swelling, fatigue, weight loss,,,
Cervical Cancer, pelvic pain, pain during intercourse, abnormal vaginal discharge, leg pains, swelling, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pain during intercourse, abnormal vaginal discharge, leg pains, swelling, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, abnormal vaginal discharge, leg pains, swelling, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, leg pains, swelling, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, abnormal vaginal discharge, swelling, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, abnormal vaginal discharge, leg pains, fatigue, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, abnormal vaginal discharge, leg pains, swelling, weight loss,,,,
Cervical Cancer,abnormal vaginal bleeding, pelvic pain, pain during intercourse, abnormal vaginal discharge, leg pains, swelling, fatigue,,,,
Deep vein thrombosis,swelling, leg pains, redness in affected area,,,,,,,,
